"family","scenario","n_sim","reject_0.01","reject_0.05","reject_0.10","median_p","ks_p"
"binary","alternative_iid",100,0.26,0.44,0.47,0.12068991227343,6.64181164987784e-18
"binary","alternative_re",100,0.05,0.14,0.21,0.459270429057258,0.0294978726533141
"binary","null_iid",100,0.13,0.26,0.38,0.169442317069279,2.37166264257411e-12
"binary","null_re",100,0.02,0.06,0.12,0.493051561296617,0.763889373012513
"binomial","alternative_iid",100,0.61,0.73,0.79,0.00136792670466801,1.69385336863237e-45
"binomial","alternative_re",100,0.18,0.42,0.56,0.0726416008697942,1.837590924228e-22
"binomial","null_iid",100,0.2,0.33,0.45,0.138592004089547,1.35435707906949e-13
"binomial","null_re",100,0.01,0.07,0.12,0.491780084633814,0.504630233264615
"cox","alternative_iid",100,0.23,0.43,0.58,0.0567300538412712,1.95095284823145e-21
"cox","alternative_re",100,0.1,0.26,0.35,0.186187363939235,5.59909988045588e-10
"cox","null_iid",100,0.05,0.19,0.27,0.214916235131761,8.98132974916213e-09
"cox","null_re",100,0.01,0.05,0.1,0.372177446407497,0.0155513568153675
"gaussian","alternative_iid",100,0.78,0.9,0.92,2.48759309046109e-05,1.24018435384854e-64
"gaussian","alternative_re",100,0.29,0.45,0.57,0.0677063027424848,2.407243717569e-25
"gaussian","null_iid",100,0.35,0.5,0.62,0.0480715075579451,7.53511628513506e-31
"gaussian","null_re",100,0.01,0.04,0.12,0.421283553282795,0.135201640203957
"nb","alternative_iid",100,0.3,0.5,0.58,0.0492854210999678,1.46067181302996e-27
"nb","alternative_re",100,0.03,0.1,0.15,0.367573356929434,0.0350811989958656
"nb","null_iid",100,0.27,0.43,0.56,0.0762791028664066,1.3403080216174e-26
"nb","null_re",100,0.01,0.09,0.12,0.425598262470596,0.16729187182315
"ocat","alternative_iid",100,0.35,0.43,0.49,0.111762991670868,2.37533507912253e-18
"ocat","alternative_re",100,0.16,0.35,0.4,0.225930425744136,4.48006711798699e-10
"ocat","null_iid",100,0.09,0.15,0.19,0.394011588725758,0.000383164110793072
"ocat","null_re",100,0,0.08,0.12,0.553186891386495,0.749333512621336
"sbeta","alternative_iid",100,0.32,0.46,0.59,0.0568757201382105,4.61260489200564e-23
"sbeta","alternative_re",100,0.07,0.21,0.27,0.242204811992693,6.35974386467838e-08
"sbeta","null_iid",100,0.11,0.27,0.37,0.230320418477676,3.77176348781415e-11
"sbeta","null_re",100,0.02,0.06,0.11,0.488303762791021,0.929979330186924
"scat","alternative_iid",100,0.17,0.28,0.41,0.214025799933853,2.14611895737706e-10
"scat","alternative_re",100,0.1,0.26,0.3,0.284345753707426,5.17236953262393e-06
"scat","null_iid",100,0.06,0.11,0.22,0.352161904067241,0.00749556219836195
"scat","null_re",100,0.03,0.09,0.14,0.486613524662344,0.979524933276816
"tweedie","alternative_iid",100,0.36,0.49,0.59,0.0517510528786173,8.76002331864951e-28
"tweedie","alternative_re",100,0.05,0.13,0.24,0.418833889836994,0.000615958645915724
"tweedie","null_iid",100,0.2,0.31,0.45,0.127770745355015,6.68679388177058e-17
"tweedie","null_re",100,0,0.09,0.12,0.504937867302166,0.967801628649066
"zip","alternative_iid",100,0.49,0.64,0.71,0.0159868756207391,3.27224853173334e-34
"zip","alternative_re",100,0.04,0.11,0.17,0.421963826549783,0.190415932949842
"zip","null_iid",100,0.44,0.58,0.68,0.0197610365486928,1.95572214742438e-33
"zip","null_re",100,0,0.08,0.1,0.509911475988966,0.4542083415282
