"family","null_n","alternative_n","null_reject_0.01","null_reject_0.05","null_reject_0.10","power_0.01","power_0.05","power_0.10","null_median_p","alternative_median_p","null_qq_max_abs","null_qq_rmse","alternative_qq_max_abs","alternative_qq_rmse","null_ks_p"
"Gaussian",100,100,0,0.04,0.1,1,1,1,0.500180609730816,2.26925071988848e-06,0.0599260679325649,0.0280209127253025,0.988786470983593,0.576867206060143,0.768373603885908
"Binary",100,100,0.01,0.06,0.09,0.16,0.34,0.46,0.559220351192268,0.11034190891788,0.101022579769766,0.0505484905823088,0.409530752692388,0.295867108809203,0.196444976386503
"Binomial",100,100,0.02,0.09,0.11,0.72,0.84,0.88,0.510663780757838,0.00108655288041398,0.068845305752682,0.0272570956035264,0.794541452815164,0.522025179449673,0.619754571637081
"NB",100,100,0,0.03,0.07,0.36,0.61,0.68,0.550327528095444,0.0251246313233482,0.0809914187314206,0.0437032439634654,0.607182316979589,0.41565833033006,0.426535272992896
"scat",100,100,0,0.02,0.11,0.11,0.31,0.42,0.527232772184461,0.171192788306692,0.0880278409210902,0.041544014691337,0.386814624138653,0.270547379409493,0.331627187720386
"ocat",100,100,0.01,0.05,0.07,0.3,0.56,0.74,0.507580889053497,0.0307394794472542,0.0409382004455403,0.0189185003061071,0.649761120710935,0.440520338094197,0.977877013531365
"Cox",500,500,0.006,0.05,0.116,0.362,0.584,0.706,0.524539615090438,0.0286372063410746,0.0296151014222247,0.0123395376555362,0.621825303748876,0.429581312901409,0.724742139003418
"sbeta",100,100,0,0.04,0.04,0.1,0.25,0.37,0.56496664130808,0.206328786048261,0.157296903473699,0.0896977272049146,0.347020479257976,0.231889055701443,0.00906553383630926
"Tweedie",100,100,0.01,0.05,0.1,0.27,0.45,0.55,0.475127569001398,0.0695775377359177,0.0772189467555071,0.0247129982599406,0.477667927080222,0.335298408405162,0.48324301911976
"ZIP",100,100,0.02,0.07,0.13,0.18,0.32,0.45,0.435996178510884,0.120283047598079,0.0725471314036159,0.033376981688076,0.47971655199077,0.315850869925164,0.55803375188842
